"target_url","status","example_source_url","example_anchor_text"
"https://www.searchsarkarinaukri.com/jobs-in-secunderabad-and-bengaluru","404","https://www.searchsarkarinaukri.com/jobs/dgqa-technician-skilled-recruitment-2026--4506","secunderabad and bengaluru sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/secunderabad","404","https://www.searchsarkarinaukri.com/jobs/dgqa-technician-semi-skilled-recruitment-2026--4505","All government jobs in secunderabad"
"https://www.searchsarkarinaukri.com/jobs-in-secunderabad","404","https://www.searchsarkarinaukri.com/jobs/dgqa-technician-semi-skilled-recruitment-2026--4505","secunderabad sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/ahmedabad","404","https://www.searchsarkarinaukri.com/jobs/nclt-senior-legal-assistant-recruitment-2026-apply-offline-for-20-posts--3187","All government jobs in ahmedabad"
"https://www.searchsarkarinaukri.com/districts/sccl-areas/regions-as-allotted","404","https://www.searchsarkarinaukri.com/jobs/sccl-engineering-graduate-apprentice-recruitment-2026--4499","All government jobs in sccl areas/regions as allotted"
"https://www.searchsarkarinaukri.com/jobs-in-sccl-areas/regions-as-allotted","404","https://www.searchsarkarinaukri.com/jobs/sccl-engineering-graduate-apprentice-recruitment-2026--4499","sccl areas/regions as allotted sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/maharashtra","404","https://www.searchsarkarinaukri.com/jobs/pnb-local-bank-officer-recruitment-2026-maharashtra-apply-online-for-67-posts--3322","All government jobs in maharashtra"
"https://www.searchsarkarinaukri.com/districts/across-india-/-abroad","404","https://www.searchsarkarinaukri.com/jobs/itbp-super-specialist-medical-officer-recruitment-2026--4496","All government jobs in across india / abroad"
"https://www.searchsarkarinaukri.com/jobs-in-across-india-/-abroad","404","https://www.searchsarkarinaukri.com/jobs/itbp-super-specialist-medical-officer-recruitment-2026--4496","across india / abroad sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/karnataka","404","https://www.searchsarkarinaukri.com/jobs/kea-village-administrative-officer-rpc-recruitment-2026--3111","All government jobs in karnataka"
"https://www.searchsarkarinaukri.com/districts/sutarwadi","404","https://www.searchsarkarinaukri.com/jobs/drdo-hemrl-graduate-apprentice-recruitment-2026--4495","All government jobs in sutarwadi"
"https://www.searchsarkarinaukri.com/jobs-in-sutarwadi","404","https://www.searchsarkarinaukri.com/jobs/drdo-hemrl-graduate-apprentice-recruitment-2026--4495","sutarwadi sarkari naukri"
"https://www.searchsarkarinaukri.com/jobs-in-washim","404","https://www.searchsarkarinaukri.com/jobs/jnv-washim-jnv-washim-2026--1922","washim sarkari naukri"
"https://www.searchsarkarinaukri.com/cdn-cgi/l/email-protection","404","https://www.searchsarkarinaukri.com/jobs/kalbhairav-sahakari-patsanstha-kalbhairav-sahakari-patsanstha-2026--4483","Apply Online"
"https://www.searchsarkarinaukri.com/districts/rourkela","404","https://www.searchsarkarinaukri.com/jobs/sail-rsp-trade-apprentice-aocp-recruitment-2026--4362","All government jobs in rourkela"
"https://www.searchsarkarinaukri.com/jobs-in-rourkela","404","https://www.searchsarkarinaukri.com/jobs/sail-rsp-trade-apprentice-aocp-recruitment-2026--4362","rourkela sarkari naukri"
"https://www.searchsarkarinaukri.com/jobs-in-ahmednagar","404","https://www.searchsarkarinaukri.com/jobs/echs-ahmednagar-echs-ahmednagar-2026--2186","ahmednagar sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/bhubaneswar","404","https://www.searchsarkarinaukri.com/jobs/income-tax-stenographer-grade-ii-recruitment-2026-1-post-sports-quota--2903","All government jobs in bhubaneswar"
"https://www.searchsarkarinaukri.com/jobs-in-bhandara","404","https://www.searchsarkarinaukri.com/jobs/ordnance-factory-hospital-bhandara-job-opening-at-ordnance-factory-hospital-2026--3199","bhandara sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/not-specified","404","https://www.searchsarkarinaukri.com/jobs/ntpc-associate-recruitment-2026-hydro-function--2731","All government jobs in not specified"
"https://www.searchsarkarinaukri.com/jobs-in-not-specified","404","https://www.searchsarkarinaukri.com/jobs/ntpc-associate-recruitment-2026-hydro-function--2731","not specified sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/union-territory-of-ladakh","404","https://www.searchsarkarinaukri.com/jobs/upsc-soil-conservation-assistant-recruitment-2026-apply-online-for-7-posts--4312","All government jobs in union territory of ladakh"
"https://www.searchsarkarinaukri.com/jobs-in-union-territory-of-ladakh","404","https://www.searchsarkarinaukri.com/jobs/upsc-soil-conservation-assistant-recruitment-2026-apply-online-for-7-posts--4312","union territory of ladakh sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/himachal-pradesh","404","https://www.searchsarkarinaukri.com/jobs/hp-high-court-clerk-recruitment-2026-apply-online-for-141-posts--4300","All government jobs in himachal pradesh"
