url,sitemap_file,lastmod,page_type,duplicate_count
https://www.searchsarkarinaukri.com/jobs/ministry-of-mines-ministry-of-mines-2026--4944,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-23,job-listing,1
https://www.searchsarkarinaukri.com/jobs/icar-iari-icar-iari-2026--4943,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-23,job-listing,1
https://www.searchsarkarinaukri.com/jobs/tata-memorial-center-tmc-mumbai-tata-memorial-center-tmc-mumbai-invites-2026--4940,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-23,job-listing,1
https://www.searchsarkarinaukri.com/jobs/high-explosives-factory-khadki-he-factory-khadki-pune-recruitment-notification-high-explosives-facto--4938,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-23,job-listing,1
https://www.searchsarkarinaukri.com/jobs/kendriya-vidyalaya-wardha-mgahv-recruitment-notification-kendriya-vidyalaya-wardha-mgahv-2026--4935,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-23,job-listing,1
https://www.searchsarkarinaukri.com/jobs/national-film-development-corporation-ltd-mumbai-apply-for-1-senior-executive-2026--4934,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-23,job-listing,1
https://www.searchsarkarinaukri.com/jobs/zilla-parishad-dhule-job-opening-at-zilla-parishad-dhule-2026--4933,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-23,job-listing,1
https://www.searchsarkarinaukri.com/jobs/csc-e-governance-services-india-limited-apply-for-20-state-project-manager-2026--4932,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-23,job-listing,1
https://www.searchsarkarinaukri.com/jobs/cantonment-board-kamptee-nagpur-job-opening-at-cantonment-board-kamptee-2026--4931,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-23,job-listing,1
https://www.searchsarkarinaukri.com/jobs/high-court-of-judicature-at-bombay-bench-at-aurangabad-high-court-of-judicature-at-bombay-2026--4929,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-23,job-listing,1
https://www.searchsarkarinaukri.com/jobs/avnl-mtpf-ex-iti-apprentice-fitter-recruitment-2026--4928,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-22,job-listing,1
https://www.searchsarkarinaukri.com/jobs/avnl-mtpf-non-iti-apprentice-mmtm-recruitment-2026--4927,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-22,job-listing,1
https://www.searchsarkarinaukri.com/jobs/avnl-mtpf-non-iti-apprentice-machinist-recruitment-2026--4926,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-22,job-listing,1
https://www.searchsarkarinaukri.com/jobs/avnl-mtpf-non-iti-apprentice-turner-recruitment-2026--4925,https://www.searchsarkarinaukri.com/sitemap-jobs.xml,2026-08-22,job-listing,1
